Device : ;PAX1000IR2/M
Serial Number : ;M00911951
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2024-04-08 17:26:29.05;0.00:00:05:010;-0.64;-0.75;0.17;0.004151;-0.003502;-0.004082;0.000933;-65.31;4.92;131.50;22.48;129.56;0.004151;0.005459;-0.001307;-23.818;-22.629;-99.990;0.18;167.13;
2024-04-08 17:26:34.05;0.00:00:10:009;-0.64;-0.75;0.17;0.004151;-0.003502;-0.004086;0.0009357;-65.30;4.93;131.58;22.54;129.64;0.004151;0.005462;-0.001311;-23.818;-22.626;-99.990;0.18;167.10;
2024-04-08 17:26:39.07;0.00:00:15:031;-0.64;-0.75;0.17;0.004154;-0.0035;-0.004086;0.0009344;-65.29;4.93;131.47;22.50;129.54;0.004154;0.005461;-0.001307;-23.816;-22.627;-99.990;0.18;167.12;
2024-04-08 17:26:44.08;0.00:00:20:042;-0.64;-0.75;0.17;0.004152;-0.003503;-0.004086;0.0009375;-65.30;4.94;131.58;22.58;129.62;0.004152;0.005463;-0.001311;-23.817;-22.626;-99.990;0.18;167.08;
2024-04-08 17:26:49.09;0.00:00:25:053;-0.64;-0.75;0.17;0.004151;-0.003502;-0.004083;0.0009369;-65.31;4.94;131.53;22.57;129.58;0.004151;0.00546;-0.001309;-23.818;-22.628;-99.990;0.18;167.08;
2024-04-08 17:26:54.09;0.00:00:30:055;-0.64;-0.75;0.17;0.004152;-0.003503;-0.004083;0.0009398;-65.31;4.95;131.54;22.63;129.57;0.004152;0.005462;-0.001309;-23.817;-22.627;-99.990;0.18;167.04;
2024-04-08 17:26:59.09;0.00:00:35:053;-0.64;-0.75;0.17;0.004151;-0.003504;-0.004086;0.0009379;-65.31;4.94;131.65;22.60;129.70;0.004151;0.005464;-0.001314;-23.819;-22.625;-99.990;0.18;167.07;
2024-04-08 17:27:04.09;0.00:00:40:051;-0.64;-0.75;0.17;0.004154;-0.0035;-0.004086;0.000938;-65.29;4.95;131.46;22.58;129.51;0.004154;0.005461;-0.001307;-23.815;-22.627;-99.990;0.18;167.07;
2024-04-08 17:27:09.09;0.00:00:45:051;-0.64;-0.75;0.17;0.004154;-0.003501;-0.004086;0.0009431;-65.30;4.97;131.54;22.71;129.56;0.004154;0.005463;-0.00131;-23.816;-22.625;-99.990;0.18;167.00;
2024-04-08 17:27:14.09;0.00:00:50:057;-0.64;-0.75;0.17;0.004152;-0.003503;-0.004084;0.0009381;-65.31;4.94;131.54;22.59;129.59;0.004152;0.005462;-0.00131;-23.817;-22.627;-99.990;0.18;167.06;
2024-04-08 17:27:19.10;0.00:00:55:065;-0.64;-0.75;0.17;0.004152;-0.003503;-0.004083;0.0009438;-65.31;4.97;131.56;22.73;129.58;0.004152;0.005462;-0.00131;-23.817;-22.626;-99.990;0.18;166.99;
2024-04-08 17:27:24.11;0.00:01:00:072;-0.64;-0.75;0.17;0.004153;-0.003502;-0.004082;0.0009446;-65.32;4.98;131.48;22.74;129.50;0.004153;0.005461;-0.001307;-23.816;-22.628;-99.990;0.18;166.97;
2024-04-08 17:27:29.11;0.00:01:05:072;-0.64;-0.75;0.17;0.004156;-0.003499;-0.00409;0.0009491;-65.27;5.00;131.51;22.84;129.51;0.004156;0.005466;-0.001309;-23.813;-22.624;-99.990;0.18;166.94;
2024-04-08 17:27:34.11;0.00:01:10:071;-0.64;-0.75;0.17;0.004156;-0.0035;-0.004091;0.0009486;-65.27;5.00;131.54;22.83;129.54;0.004156;0.005467;-0.001311;-23.813;-22.623;-99.990;0.18;166.95;
2024-04-08 17:27:39.11;0.00:01:15:072;-0.64;-0.75;0.17;0.004154;-0.003498;-0.004091;0.000947;-65.26;4.99;131.58;22.80;129.59;0.004154;0.005465;-0.001312;-23.816;-22.624;-99.990;0.18;166.97;
2024-04-08 17:27:44.10;0.00:01:20:067;-0.64;-0.75;0.17;0.004154;-0.003499;-0.004089;0.0009462;-65.28;4.99;131.53;22.78;129.54;0.004154;0.005464;-0.00131;-23.815;-22.625;-99.990;0.18;166.97;
2024-04-08 17:27:49.10;0.00:01:25:063;-0.64;-0.75;0.17;0.004154;-0.003499;-0.004095;0.0009491;-65.26;5.00;131.64;22.85;129.64;0.004154;0.005469;-0.001315;-23.815;-22.621;-99.990;0.18;166.95;
2024-04-08 17:27:54.10;0.00:01:30:062;-0.64;-0.75;0.17;0.004156;-0.003498;-0.004089;0.0009473;-65.27;4.99;131.46;22.79;129.47;0.004156;0.005464;-0.001308;-23.813;-22.625;-99.990;0.18;166.96;
2024-04-08 17:27:59.09;0.00:01:35:058;-0.64;-0.75;0.17;0.004155;-0.003496;-0.004091;0.0009461;-65.26;4.99;131.50;22.77;129.51;0.004155;0.005464;-0.001309;-23.814;-22.625;-99.990;0.18;166.98;
2024-04-08 17:28:04.10;0.00:01:40:063;-0.64;-0.75;0.17;0.004155;-0.003495;-0.004094;0.0009481;-65.24;4.99;131.57;22.82;129.57;0.004155;0.005466;-0.001312;-23.815;-22.623;-99.990;0.18;166.96;
2024-04-08 17:28:09.10;0.00:01:45:067;-0.64;-0.75;0.17;0.004155;-0.003496;-0.004094;0.0009491;-65.25;5.00;131.56;22.84;129.56;0.004155;0.005467;-0.001311;-23.814;-22.623;-99.990;0.18;166.95;
2024-04-08 17:28:14.10;0.00:01:50:063;-0.64;-0.75;0.17;0.004158;-0.003491;-0.004098;0.0009479;-65.21;4.99;131.46;22.80;129.47;0.004158;0.005466;-0.001308;-23.811;-22.623;-99.990;0.18;166.98;
2024-04-08 17:28:19.10;0.00:01:55:065;-0.64;-0.75;0.17;0.004155;-0.003496;-0.004096;0.0009491;-65.24;5.00;131.60;22.84;129.60;0.004155;0.005468;-0.001313;-23.814;-22.622;-99.990;0.18;166.95;
2024-04-08 17:28:24.10;0.00:02:00:064;-0.64;-0.75;0.17;0.004158;-0.003492;-0.004097;0.0009486;-65.22;5.00;131.48;22.82;129.48;0.004158;0.005466;-0.001309;-23.812;-22.623;-99.990;0.18;166.96;
2024-04-08 17:28:29.10;0.00:02:05:066;-0.64;-0.75;0.17;0.004159;-0.003493;-0.004099;0.0009495;-65.22;5.00;131.48;22.83;129.48;0.004159;0.005468;-0.001309;-23.810;-22.622;-99.990;0.18;166.96;
2024-04-08 17:28:34.10;0.00:02:10:063;-0.64;-0.75;0.17;0.00416;-0.003489;-0.004099;0.000946;-65.20;4.98;131.38;22.74;129.40;0.00416;0.005465;-0.001305;-23.809;-22.624;-99.990;0.18;167.00;
2024-04-08 17:28:39.10;0.00:02:15:063;-0.64;-0.75;0.17;0.004157;-0.003497;-0.004095;0.000951;-65.25;5.01;131.53;22.88;129.53;0.004157;0.005468;-0.001311;-23.812;-22.622;-99.990;0.18;166.93;
2024-04-08 17:28:44.10;0.00:02:20:061;-0.64;-0.75;0.17;0.004158;-0.003495;-0.004098;0.0009499;-65.23;5.00;131.54;22.85;129.54;0.004158;0.005469;-0.001311;-23.812;-22.621;-99.990;0.18;166.95;
2024-04-08 17:28:49.11;0.00:02:25:069;-0.64;-0.75;0.17;0.004157;-0.003494;-0.004099;0.0009469;-65.22;4.99;131.57;22.78;129.58;0.004157;0.005469;-0.001312;-23.812;-22.621;-99.990;0.18;166.99;
2024-04-08 17:28:54.10;0.00:02:30:068;-0.64;-0.75;0.17;0.00416;-0.00349;-0.0041;0.0009512;-65.21;5.01;131.44;22.87;129.43;0.00416;0.005467;-0.001308;-23.809;-22.622;-99.990;0.18;166.94;
2024-04-08 17:28:59.11;0.00:02:35:072;-0.64;-0.75;0.17;0.004158;-0.003494;-0.004099;0.0009525;-65.22;5.01;131.56;22.91;129.56;0.004158;0.00547;-0.001312;-23.811;-22.620;-99.990;0.18;166.92;
2024-04-08 17:29:04.11;0.00:02:40:070;-0.64;-0.75;0.17;0.004159;-0.003491;-0.004102;0.0009561;-65.20;5.03;131.55;22.99;129.52;0.004159;0.005471;-0.001312;-23.810;-22.619;-99.990;0.18;166.88;
2024-04-08 17:29:09.11;0.00:02:45:070;-0.64;-0.75;0.17;0.004161;-0.003491;-0.004101;0.000956;-65.20;5.03;131.46;22.98;129.44;0.004161;0.00547;-0.001309;-23.808;-22.620;-99.990;0.18;166.88;
2024-04-08 17:29:14.11;0.00:02:50:077;-0.64;-0.75;0.17;0.004161;-0.003489;-0.004102;0.0009549;-65.19;5.03;131.44;22.95;129.43;0.004161;0.00547;-0.001308;-23.808;-22.620;-99.990;0.18;166.90;
2024-04-08 17:29:19.11;0.00:02:55:074;-0.64;-0.75;0.17;0.004161;-0.00349;-0.004106;0.0009564;-65.18;5.03;131.51;22.98;129.49;0.004161;0.005473;-0.001311;-23.808;-22.618;-99.990;0.18;166.89;
2024-04-08 17:29:24.11;0.00:03:00:073;-0.64;-0.75;0.17;0.004162;-0.003489;-0.004103;0.0009572;-65.19;5.04;131.45;23.00;129.42;0.004162;0.00547;-0.001309;-23.807;-22.620;-99.990;0.18;166.87;
2024-04-08 17:29:29.11;0.00:03:05:077;-0.64;-0.75;0.18;0.004159;-0.003494;-0.004098;0.0009575;-65.23;5.04;131.52;23.02;129.49;0.004159;0.00547;-0.001311;-23.810;-22.620;-99.990;0.18;166.85;
2024-04-08 17:29:34.11;0.00:03:10:074;-0.64;-0.75;0.18;0.004161;-0.003491;-0.004105;0.0009596;-65.19;5.05;131.54;23.06;129.51;0.004161;0.005473;-0.001312;-23.808;-22.618;-99.990;0.18;166.84;
2024-04-08 17:29:39.12;0.00:03:15:084;-0.64;-0.75;0.18;0.00416;-0.003493;-0.0041;0.0009606;-65.21;5.06;131.53;23.09;129.49;0.00416;0.005471;-0.001312;-23.810;-22.619;-99.990;0.18;166.81;
2024-04-08 17:29:44.13;0.00:03:20:091;-0.64;-0.75;0.18;0.004161;-0.00349;-0.004108;0.0009616;-65.18;5.06;131.58;23.11;129.53;0.004161;0.005475;-0.001314;-23.808;-22.616;-99.990;0.18;166.82;
2024-04-08 17:29:49.13;0.00:03:25:098;-0.64;-0.75;0.18;0.004162;-0.003491;-0.004106;0.0009595;-65.18;5.05;131.54;23.05;129.50;0.004162;0.005474;-0.001312;-23.807;-22.617;-99.990;0.18;166.85;
2024-04-08 17:29:54.13;0.00:03:30:094;-0.64;-0.75;0.18;0.004165;-0.003487;-0.00411;0.0009596;-65.16;5.05;131.45;23.04;129.41;0.004165;0.005474;-0.00131;-23.804;-22.617;-99.990;0.18;166.86;
2024-04-08 17:29:59.13;0.00:03:35:097;-0.64;-0.75;0.18;0.004162;-0.003491;-0.004105;0.0009605;-65.19;5.05;131.51;23.08;129.47;0.004162;0.005474;-0.001312;-23.807;-22.617;-99.990;0.18;166.83;
2024-04-08 17:30:04.13;0.00:03:40:094;-0.64;-0.75;0.18;0.004161;-0.003491;-0.004108;0.0009642;-65.18;5.07;131.61;23.17;129.55;0.004161;0.005476;-0.001315;-23.808;-22.615;-99.990;0.18;166.79;
2024-04-08 17:30:09.14;0.00:03:45:103;-0.64;-0.75;0.18;0.004163;-0.00349;-0.004108;0.000965;-65.17;5.08;131.54;23.18;129.48;0.004163;0.005476;-0.001313;-23.806;-22.616;-99.990;0.18;166.78;
2024-04-08 17:30:14.14;0.00:03:50:099;-0.64;-0.75;0.18;0.004164;-0.003487;-0.004113;0.0009685;-65.15;5.09;131.58;23.26;129.51;0.004164;0.005479;-0.001315;-23.805;-22.613;-99.990;0.18;166.75;
2024-04-08 17:30:19.14;0.00:03:55:106;-0.64;-0.75;0.18;0.004164;-0.003487;-0.00411;0.0009638;-65.16;5.07;131.50;23.15;129.45;0.004164;0.005476;-0.001312;-23.805;-22.615;-99.990;0.18;166.80;
2024-04-08 17:30:24.15;0.00:04:00:112;-0.64;-0.75;0.18;0.004164;-0.003485;-0.004113;0.0009626;-65.14;5.06;131.51;23.12;129.46;0.004164;0.005476;-0.001312;-23.805;-22.615;-99.990;0.18;166.83;
2024-04-08 17:30:29.15;0.00:04:05:113;-0.64;-0.75;0.18;0.004163;-0.003487;-0.004114;0.0009678;-65.14;5.09;131.62;23.25;129.55;0.004163;0.005479;-0.001316;-23.806;-22.613;-99.990;0.18;166.76;
2024-04-08 17:30:34.16;0.00:04:10:121;-0.64;-0.75;0.18;0.004166;-0.003485;-0.004114;0.0009648;-65.13;5.07;131.47;23.16;129.41;0.004166;0.005477;-0.001311;-23.802;-22.614;-99.990;0.18;166.80;
2024-04-08 17:30:39.16;0.00:04:15:120;-0.64;-0.75;0.18;0.004166;-0.003481;-0.004116;0.0009634;-65.11;5.07;131.46;23.12;129.41;0.004166;0.005477;-0.00131;-23.803;-22.615;-99.990;0.18;166.83;
2024-04-08 17:30:44.16;0.00:04:20:126;-0.64;-0.75;0.18;0.004163;-0.003486;-0.004111;0.0009687;-65.15;5.09;131.54;23.27;129.47;0.004163;0.005476;-0.001313;-23.806;-22.615;-99.990;0.18;166.74;
2024-04-08 17:30:49.16;0.00:04:25:129;-0.64;-0.75;0.18;0.004164;-0.003485;-0.004107;0.0009654;-65.16;5.08;131.42;23.18;129.36;0.004164;0.005472;-0.001308;-23.805;-22.618;-99.990;0.18;166.77;
2024-04-08 17:30:54.16;0.00:04:30:127;-0.64;-0.75;0.18;0.004165;-0.003482;-0.004117;0.0009687;-65.11;5.09;131.55;23.26;129.48;0.004165;0.005479;-0.001314;-23.804;-22.613;-99.990;0.18;166.76;
2024-04-08 17:30:59.17;0.00:04:35:138;-0.64;-0.75;0.18;0.004165;-0.003485;-0.004115;0.0009693;-65.13;5.10;131.54;23.27;129.46;0.004165;0.005479;-0.001314;-23.804;-22.613;-99.990;0.18;166.74;
2024-04-08 17:31:04.18;0.00:04:40:148;-0.64;-0.75;0.18;0.004165;-0.003483;-0.004114;0.0009719;-65.12;5.11;131.52;23.34;129.43;0.004165;0.005477;-0.001313;-23.804;-22.614;-99.990;0.18;166.71;
2024-04-08 17:31:09.18;0.00:04:45:146;-0.64;-0.75;0.18;0.004167;-0.003481;-0.004117;0.00097;-65.11;5.10;131.45;23.28;129.38;0.004167;0.005478;-0.001311;-23.802;-22.614;-99.990;0.18;166.74;
2024-04-08 17:31:14.18;0.00:04:50:147;-0.64;-0.75;0.18;0.004164;-0.003484;-0.004116;0.0009748;-65.12;5.12;131.60;23.41;129.50;0.004164;0.00548;-0.001316;-23.804;-22.612;-99.990;0.18;166.68;
2024-04-08 17:31:19.19;0.00:04:55:149;-0.64;-0.75;0.18;0.004163;-0.003485;-0.004117;0.0009724;-65.12;5.11;131.66;23.36;129.57;0.004163;0.005481;-0.001318;-23.806;-22.612;-99.990;0.18;166.71;
2024-04-08 17:31:24.19;0.00:05:00:153;-0.64;-0.75;0.18;0.004167;-0.003483;-0.004116;0.000971;-65.12;5.10;131.48;23.30;129.40;0.004167;0.005479;-0.001312;-23.802;-22.613;-99.990;0.18;166.73;
2024-04-08 17:31:29.19;0.00:05:05:152;-0.64;-0.75;0.18;0.004167;-0.003483;-0.004118;0.0009739;-65.11;5.12;131.55;23.37;129.45;0.004167;0.005481;-0.001314;-23.802;-22.611;-99.990;0.18;166.70;
2024-04-08 17:31:34.19;0.00:05:10:153;-0.64;-0.75;0.18;0.004166;-0.003484;-0.004116;0.000972;-65.12;5.11;131.53;23.33;129.45;0.004166;0.00548;-0.001314;-23.803;-22.612;-99.990;0.18;166.71;
2024-04-08 17:31:39.20;0.00:05:15:160;-0.64;-0.75;0.18;0.004168;-0.003482;-0.004119;0.0009707;-65.10;5.10;131.49;23.29;129.41;0.004168;0.005481;-0.001312;-23.801;-22.612;-99.990;0.18;166.74;
2024-04-08 17:31:44.20;0.00:05:20:167;-0.63;-0.75;0.18;0.004168;-0.003481;-0.004122;0.000971;-65.09;5.10;131.51;23.30;129.43;0.004168;0.005481;-0.001313;-23.801;-22.611;-99.990;0.18;166.74;
2024-04-08 17:31:49.20;0.00:05:25:162;-0.64;-0.75;0.18;0.004168;-0.003483;-0.00412;0.0009706;-65.10;5.10;131.51;23.29;129.43;0.004168;0.005481;-0.001313;-23.801;-22.611;-99.990;0.18;166.74;
2024-04-08 17:31:54.20;0.00:05:30:165;-0.63;-0.75;0.18;0.00417;-0.00348;-0.004122;0.0009732;-65.09;5.11;131.45;23.34;129.36;0.00417;0.005481;-0.001311;-23.799;-22.611;-99.990;0.18;166.72;
2024-04-08 17:31:59.20;0.00:05:35:161;-0.64;-0.75;0.18;0.004168;-0.003482;-0.004117;0.0009698;-65.11;5.10;131.44;23.27;129.37;0.004168;0.005479;-0.00131;-23.801;-22.613;-99.990;0.18;166.74;
2024-04-08 17:32:04.20;0.00:05:40:166;-0.63;-0.75;0.18;0.004171;-0.003478;-0.004124;0.0009749;-65.07;5.12;131.46;23.38;129.36;0.004171;0.005483;-0.001312;-23.798;-22.610;-99.990;0.18;166.70;
2024-04-08 17:32:09.21;0.00:05:45:169;-0.63;-0.75;0.18;0.00417;-0.003478;-0.004128;0.0009738;-65.06;5.11;131.53;23.35;129.44;0.00417;0.005484;-0.001315;-23.799;-22.609;-99.990;0.18;166.73;
2024-04-08 17:32:14.21;0.00:05:50:175;-0.64;-0.75;0.18;0.004169;-0.003482;-0.00412;0.0009776;-65.10;5.14;131.50;23.45;129.40;0.004169;0.005483;-0.001313;-23.799;-22.610;-99.990;0.18;166.65;
2024-04-08 17:32:19.21;0.00:05:55:174;-0.63;-0.75;0.18;0.004169;-0.003481;-0.00412;0.0009827;-65.10;5.16;131.51;23.57;129.38;0.004169;0.005483;-0.001314;-23.799;-22.610;-99.990;0.18;166.59;
2024-04-08 17:32:24.21;0.00:06:00:174;-0.64;-0.75;0.18;0.004172;-0.003479;-0.004113;0.0009927;-65.12;5.22;131.30;23.79;129.12;0.004172;0.005478;-0.001306;-23.796;-22.614;-99.990;0.18;166.43;
2024-04-08 17:32:29.22;0.00:06:05:182;-0.64;-0.75;0.18;0.004172;-0.00348;-0.00411;0.0009901;-65.13;5.21;131.26;23.73;129.10;0.004172;0.005476;-0.001304;-23.797;-22.615;-99.990;0.18;166.46;
2024-04-08 17:32:34.22;0.00:06:10:181;-0.64;-0.75;0.18;0.00417;-0.003481;-0.004108;0.0009939;-65.14;5.23;131.30;23.83;129.12;0.00417;0.005476;-0.001306;-23.798;-22.615;-99.990;0.18;166.40;
2024-04-08 17:32:39.23;0.00:06:15:191;-0.63;-0.75;0.18;0.004175;-0.003478;-0.004113;0.0009979;-65.11;5.25;131.21;23.90;129.02;0.004175;0.005478;-0.001303;-23.794;-22.614;-99.990;0.18;166.36;
2024-04-08 17:32:44.23;0.00:06:20:190;-0.63;-0.75;0.18;0.004172;-0.003477;-0.004118;0.000997;-65.09;5.24;131.38;23.90;129.19;0.004172;0.005481;-0.001309;-23.797;-22.611;-99.990;0.18;166.39;
2024-04-08 17:32:49.23;0.00:06:25:195;-0.64;-0.75;0.18;0.004172;-0.003479;-0.004112;0.0009984;-65.12;5.25;131.33;23.93;129.13;0.004172;0.005479;-0.001307;-23.797;-22.613;-99.990;0.18;166.35;
2024-04-08 17:32:54.23;0.00:06:30:193;-0.63;-0.75;0.18;0.004173;-0.003474;-0.004118;0.0009945;-65.08;5.23;131.30;23.83;129.12;0.004173;0.005479;-0.001306;-23.796;-22.613;-99.990;0.18;166.42;
2024-04-08 17:32:59.24;0.00:06:35:200;-0.63;-0.75;0.18;0.004172;-0.003478;-0.004119;0.0009966;-65.09;5.24;131.42;23.89;129.23;0.004172;0.005482;-0.001311;-23.797;-22.610;-99.990;0.18;166.40;
2024-04-08 17:33:04.25;0.00:06:40:210;-0.63;-0.75;0.18;0.004174;-0.003478;-0.004116;0.0009995;-65.10;5.25;131.32;23.95;129.12;0.004174;0.005481;-0.001307;-23.795;-22.612;-99.990;0.18;166.35;
2024-04-08 17:33:09.25;0.00:06:45:219;-0.63;-0.75;0.18;0.004174;-0.003478;-0.004114;0.0009996;-65.11;5.26;131.29;23.95;129.09;0.004174;0.005479;-0.001306;-23.795;-22.613;-99.990;0.18;166.34;
2024-04-08 17:33:14.25;0.00:06:50:216;-0.64;-0.75;0.18;0.004174;-0.003479;-0.004113;0.0009969;-65.11;5.24;131.24;23.88;129.05;0.004174;0.005478;-0.001304;-23.794;-22.614;-99.990;0.18;166.37;
2024-04-08 17:33:19.25;0.00:06:55:216;-0.64;-0.75;0.18;0.004175;-0.003479;-0.004109;0.0009944;-65.12;5.23;131.13;23.81;128.95;0.004175;0.005475;-0.0013;-23.793;-22.616;-99.990;0.18;166.40;
2024-04-08 17:33:24.26;0.00:07:00:221;-0.63;-0.75;0.18;0.004174;-0.003478;-0.004116;0.000997;-65.10;5.24;131.29;23.89;129.10;0.004174;0.00548;-0.001306;-23.795;-22.612;-99.990;0.18;166.38;
2024-04-08 17:33:29.27;0.00:07:05:231;-0.63;-0.75;0.18;0.004174;-0.003477;-0.004114;0.0009988;-65.10;5.25;131.24;23.93;129.04;0.004174;0.005479;-0.001304;-23.794;-22.613;-99.990;0.18;166.35;
2024-04-08 17:33:34.27;0.00:07:10:236;-0.63;-0.75;0.18;0.004175;-0.003479;-0.004114;0.001001;-65.11;5.26;131.27;23.97;129.06;0.004175;0.00548;-0.001305;-23.794;-22.612;-99.990;0.18;166.33;
2024-04-08 17:33:39.27;0.00:07:15:237;-0.64;-0.75;0.18;0.004176;-0.00348;-0.004112;0.001001;-65.12;5.26;131.20;23.97;128.99;0.004176;0.005479;-0.001303;-23.793;-22.613;-99.990;0.18;166.32;
2024-04-08 17:33:44.27;0.00:07:20:239;-0.64;-0.75;0.18;0.004174;-0.003483;-0.004109;0.001;-65.15;5.26;131.25;23.96;129.05;0.004174;0.005479;-0.001304;-23.794;-22.613;-99.990;0.18;166.32;
