time,wind_speed_10m (km/h),wind_direction_10m (°)
2024-01-01T00:00,8.6,285
2024-01-01T01:00,9.0,299
2024-01-01T02:00,11.1,299
2024-01-01T03:00,14.0,314
2024-01-01T04:00,14.6,320
2024-01-01T05:00,13.3,360
2024-01-01T06:00,12.0,9
2024-01-01T07:00,12.0,339
2024-01-01T08:00,13.0,332
2024-01-01T09:00,11.3,333
2024-01-01T10:00,10.2,337
2024-01-01T11:00,8.3,342
2024-01-01T12:00,6.2,350
2024-01-01T13:00,2.6,344
2024-01-01T14:00,0.7,180
2024-01-01T15:00,5.2,192
2024-01-01T16:00,5.4,222
2024-01-01T17:00,3.3,257
2024-01-01T18:00,6.4,297
2024-01-01T19:00,5.1,321
2024-01-01T20:00,4.6,342
2024-01-01T21:00,6.6,347
2024-01-01T22:00,7.5,343
2024-01-01T23:00,7.6,341
2024-01-02T00:00,10.0,347
2024-01-02T01:00,10.6,342
2024-01-02T02:00,10.1,343
2024-01-02T03:00,11.4,349
2024-01-02T04:00,10.9,343
2024-01-02T05:00,8.9,339
2024-01-02T06:00,7.0,348
2024-01-02T07:00,5.8,356
2024-01-02T08:00,5.5,349
2024-01-02T09:00,3.3,347
2024-01-02T10:00,2.2,351
2024-01-02T11:00,3.6,315
2024-01-02T12:00,10.1,235
2024-01-02T13:00,15.5,222
2024-01-02T14:00,19.3,225
2024-01-02T15:00,20.9,225
2024-01-02T16:00,21.9,225
2024-01-02T17:00,20.4,226
2024-01-02T18:00,20.3,237
2024-01-02T19:00,16.3,242
2024-01-02T20:00,11.5,256
2024-01-02T21:00,4.3,294
2024-01-02T22:00,3.7,331
2024-01-02T23:00,3.8,319
2024-01-03T00:00,3.6,315
2024-01-03T01:00,3.6,323
2024-01-03T02:00,3.9,326
2024-01-03T03:00,3.8,343
2024-01-03T04:00,2.1,329
2024-01-03T05:00,3.3,319
2024-01-03T06:00,4.0,333
2024-01-03T07:00,7.1,345
2024-01-03T08:00,8.7,353
2024-01-03T09:00,11.4,13
2024-01-03T10:00,5.9,43
2024-01-03T11:00,3.6,37
2024-01-03T12:00,4.8,27
2024-01-03T13:00,5.9,76
2024-01-03T14:00,7.3,101
2024-01-03T15:00,3.3,167
2024-01-03T16:00,12.7,215
2024-01-03T17:00,16.0,224
2024-01-03T18:00,17.3,228
2024-01-03T19:00,17.8,234
2024-01-03T20:00,19.2,236
2024-01-03T21:00,14.5,240
2024-01-03T22:00,14.2,249
2024-01-03T23:00,15.2,256
2024-01-04T00:00,14.1,257
2024-01-04T01:00,12.4,244
2024-01-04T02:00,11.0,251
2024-01-04T03:00,14.4,273
2024-01-04T04:00,15.0,280
2024-01-04T05:00,15.0,280
2024-01-04T06:00,9.6,250
2024-01-04T07:00,5.5,238
2024-01-04T08:00,5.2,192
2024-01-04T09:00,3.9,158
2024-01-04T10:00,5.4,352
2024-01-04T11:00,8.8,351
2024-01-04T12:00,7.6,360
2024-01-04T13:00,3.6,315
2024-01-04T14:00,6.6,209
2024-01-04T15:00,9.0,209
2024-01-04T16:00,6.1,177
2024-01-04T17:00,3.3,96
2024-01-04T18:00,4.9,36
2024-01-04T19:00,4.5,14
2024-01-04T20:00,5.4,8
2024-01-04T21:00,6.8,3
2024-01-04T22:00,5.4,356
2024-01-04T23:00,4.0,350
2024-01-05T00:00,3.6,354
2024-01-05T01:00,3.7,349
2024-01-05T02:00,5.2,348
2024-01-05T03:00,4.0,355
2024-01-05T04:00,1.1,360
2024-01-05T05:00,3.6,276
2024-01-05T06:00,3.3,6
2024-01-05T07:00,7.2,18
2024-01-05T08:00,11.1,29
2024-01-05T09:00,12.5,44
2024-01-05T10:00,11.7,56
2024-01-05T11:00,13.0,56
2024-01-05T12:00,13.9,53
2024-01-05T13:00,10.1,55
2024-01-05T14:00,10.5,38
2024-01-05T15:00,17.1,319
2024-01-05T16:00,13.0,312
2024-01-05T17:00,10.8,358
2024-01-05T18:00,14.3,10
2024-01-05T19:00,16.1,350
2024-01-05T20:00,16.4,341
2024-01-05T21:00,17.3,348
2024-01-05T22:00,13.7,315
2024-01-05T23:00,12.1,330
2024-01-06T00:00,8.1,347
2024-01-06T01:00,6.2,353
