Parameter,Value
uid,0672f94a-98d7-4842-b049-91273f8a828d
date_completed,2024-07-17 14:02:33.677486
algorithm,PPO with continous action gaussian policy
total_episodes,400
gamma,0.99
lambda,0.95
num_actions,2
num_states,3
HIDDEN_LAYER_SIZES,"(512, 512)"
target_kl,0.01
train_policy_iterations,180
train_value_iterations,180
max_env_steps,100
latency,0
policy_learning_rate,0.0003
value_function_learning_rate,0.001
clip_ration,0.1
env.delta_t,0.1
env.max_t,10.0
env_type,SimpleControlledFixedEnv
env.fixed_errors_flags,"[True, True, True, True, False, False, True, True, True, True, True, True]"
env.fixed_error_ctrl_pump,"[0, 0, 0, 0]"
env.fixed_error_ctrl_alice,"[3.141592653589793, 0, 0, 0]"
env.fixed_error_ctrl_bob,"[0, 0, 0, 0]"
total_training_time,243.3435480594635
avg_time_per_ep,243.3435480594635
baseline_reward,-50.93845176557012
convergence_reward,-66.13758370164942
note,
