Parameter,Value
uid,07cfdf0b-f9f7-4374-8167-5b76a593930f
date_completed,2024-07-11 13:21:38.760353
total_episodes,100
gamma,0.8
tau,0.005
num_actions,2
num_states,2
lower_bound,-3.141592653589793
upper_bound,3.141592653589793
ep_running_average,10
buffer_size,5000
TARGET_REWARD,0
max_env_steps,1000
latency,1
actor_lr,0.001
critic_lr,0.01
std_dev,0.4
env.delta_t,0.01
env.max_t,2
env_type,SimpleControlledFixedEnv
env.fixed_errors_flags,"[True, True, True, True, True, True, True, True, True, True, True, True]"
env.fixed_error_ctrl_pump,"[0, 0, 0, 0]"
env.fixed_error_ctrl_alice,"[3.141592653589793, 3.141592653589793, 0, 0]"
env.fixed_error_ctrl_bob,"[0, 0, 0, 0]"
total_training_time,208.85191655158997
avg_time_per_ep,2.0885191655158994
note,-5 times scaled negative reward
