Parameter,Value
uid,10dfeaba-34ef-4f47-8768-b1e6ce5e12ee
date_completed,2024-07-16 12:53:55.485462
total_episodes,40
gamma,0.99
tau,0.005
num_actions,2
num_states,200
lower_bound,-3.141592653589793
upper_bound,0
ep_running_average,5
buffer_size,30000
TARGET_REWARD,0
max_env_steps,100
latency,100
actor_lr,0.0001
critic_lr,0.002
std_dev,1.0
env.delta_t,0.1
env.max_t,10.0
env_type,SimpleControlledFixedEnv
env.fixed_errors_flags,"[True, True, True, True, False, False, True, True, True, True, True, True]"
env.fixed_error_ctrl_pump,"[0, 0, 0, 0]"
env.fixed_error_ctrl_alice,"[3.141592653589793, 0, 0, 0]"
env.fixed_error_ctrl_bob,"[0, 0, 0, 0]"
total_training_time,0.09264421463012695
avg_time_per_ep,0.09264421463012695
baseline_reward,0
note,new ladybug
