Parameter,Value
uid,17cedb6e-647a-4e07-bbe2-ef14fd6a0ff1
date_completed,2024-07-17 14:06:42.916996
algorithm,PPO with continous action gaussian policy
total_episodes,200
seed,<environment.models.simple_control_fixed.SimpleControlledFixedEnv object at 0x7f3d8596b520>
gamma,0.99
lambda,0.95
num_actions,2
num_states,3
HIDDEN_LAYER_SIZES,"(512, 512)"
target_kl,0.01
train_policy_iterations,180
train_value_iterations,180
max_env_steps,100
latency,0
policy_learning_rate,0.0003
value_function_learning_rate,0.001
clip_ration,0.1
env.delta_t,0.1
env.max_t,10.0
env_type,SimpleControlledFixedEnv
env.fixed_errors_flags,"[True, True, True, True, False, False, True, True, True, True, True, True]"
env.fixed_error_ctrl_pump,"[0, 0, 0, 0]"
env.fixed_error_ctrl_alice,"[3.141592653589793, 0, 0, 0]"
env.fixed_error_ctrl_bob,"[0, 0, 0, 0]"
total_training_time,131.33299136161804
avg_time_per_ep,131.33299136161804
baseline_reward,-69.18653612549967
convergence_reward,-23.3558240301363
note,
