Parameter,Value
uid,34ea4935-c3db-4900-a17e-782df6774551
date_completed,2024-07-18 14:16:35.749055
algorithm,PPO with continous action gaussian policy
total_episodes,600
seed,<environment.models.simple_control_fixed.SimpleControlledFixedEnv object at 0x7f91da4ff8b0>
gamma,0.99
lambda,0.99
num_actions,2
num_states,3
HIDDEN_LAYER_SIZES,"(256, 256)"
target_kl,0.01
train_policy_iterations,180
train_value_iterations,180
max_env_steps,100
latency,0
policy_learning_rate,0.0003
value_function_learning_rate,0.001
clip_ration,0.1
env_reward_type,negative
env.delta_t,0.1
env.max_t,10.0
env_type,SimpleControlledFixedEnv
env.fixed_errors_flags,"[True, True, True, True, False, False, True, True, True, True, True, True]"
env.fixed_error_ctrl_pump,"[0, 0, 0, 0]"
env.fixed_error_ctrl_alice,"[0, 0, 0, 0]"
env.fixed_error_ctrl_bob,"[0, 0, 0, 0]"
total_training_time,265.20637559890747
avg_time_per_ep,265.20637559890747
baseline_reward,-69.18653612549967
convergence_reward,-97.06255853559884
note,curriculum: restrict QBER to X then Z then both
