Parameter,Value
uid,3abeba99-8619-4afd-a6d3-ca72b5970c62
date_completed,2024-07-16 09:26:49.810106
total_episodes,200
gamma,0.99
tau,0.005
num_actions,8
num_states,2
lower_bound,0.0
upper_bound,1.0
ep_running_average,5
buffer_size,30000
TARGET_REWARD,200
max_env_steps,200
latency,20
actor_lr,0.001
critic_lr,0.002
std_dev,0.5
env.delta_t,0.1
env.max_t,20.0
env_type,SinusoidalControlledFixedEnv
env.fixed_errors_flags,"[True, True, True, True, False, True, True, True, True, True, True, True]"
env.fixed_error_ctrl_pump,"[0, 0, 0, 0]"
env.fixed_error_ctrl_alice,"[3.141592653589793, 0, 0, 0]"
env.fixed_error_ctrl_bob,"[0, 0, 0, 0]"
total_training_time,36.48080778121948
avg_time_per_ep,0.1824040389060974
baseline_reward,3.5
note,onlyZ nsinus actorNN_with_leakyReLu reward_qber_mult
