Parameter,Value
uid,5deb9f25-68c2-447d-a2bf-7751f4d76453
date_completed,2024-07-15 12:21:14.063048
total_episodes,400
gamma,0.99
tau,0.005
num_actions,4
num_states,2
lower_bound,0.0
upper_bound,1.0
ep_running_average,5
buffer_size,30000
TARGET_REWARD,-0.5
max_env_steps,200
latency,20
actor_lr,0.002
critic_lr,0.004
std_dev,0.5
env.delta_t,0.1
env.max_t,20.0
env_type,SinusoidalControlledFixedEnv
env.fixed_errors_flags,"[True, True, True, True, False, True, True, True, True, True, True, True]"
env.fixed_error_ctrl_pump,"[0, 0, 0, 0]"
env.fixed_error_ctrl_alice,"[3.141592653589793, 0, 0, 0]"
env.fixed_error_ctrl_bob,"[0, 0, 0, 0]"
total_training_time,75.07482624053955
avg_time_per_ep,0.18768706560134887
baseline_reward,-4.8242495619036925
note,onlyZ nsinus actorNN_with_leakyReLu
