Parameter,Value
uid,65289406-f1b8-4de4-aec3-fa8b9c74ad4e
date_completed,2024-07-11 15:13:45.431974
total_episodes,200
gamma,0.8
tau,0.01
num_actions,1
num_states,2
lower_bound,-3.141592653589793
upper_bound,3.141592653589793
ep_running_average,10
buffer_size,5000
TARGET_REWARD,0
max_env_steps,1000
latency,1
actor_lr,0.001
critic_lr,0.01
std_dev,0.2
env.delta_t,0.01
env.max_t,2
env_type,SimpleControlledFixedEnv
env.fixed_errors_flags,"[True, True, True, True, False, True, True, True, True, True, True, True]"
env.fixed_error_ctrl_pump,"[0, 0, 0, 0]"
env.fixed_error_ctrl_alice,"[3.141592653589793, 0, 0, 0]"
env.fixed_error_ctrl_bob,"[0, 0, 0, 0]"
total_training_time,381.6926929950714
avg_time_per_ep,1.9084634649753571
note,-5 times scaled negative reward onlyZ
