Parameter,Value
uid,6c7af549-1e4b-4f98-afd3-2abfa01a4704
date_completed,2024-07-15 10:41:02.817922
total_episodes,200
gamma,0.99
tau,0.005
num_actions,4
num_states,2
lower_bound,0.0
upper_bound,1.0
ep_running_average,5
buffer_size,30000
TARGET_REWARD,0
max_env_steps,100
latency,20
actor_lr,0.001
critic_lr,0.002
std_dev,0.5
env.delta_t,0.1
env.max_t,10.0
env_type,SinusoidalControlledFixedEnv
env.fixed_errors_flags,"[True, True, True, True, False, True, True, True, True, True, True, True]"
env.fixed_error_ctrl_pump,"[0, 0, 0, 0]"
env.fixed_error_ctrl_alice,"[3.141592653589793, 0, 0, 0]"
env.fixed_error_ctrl_bob,"[0, 0, 0, 0]"
total_training_time,18.200827836990356
avg_time_per_ep,0.09100413918495179
baseline_reward,-0.8148600399708108
note,onlyZ nsinus no_critic_batch_norm_NN
