Parameter,Value
uid,7166fcb3-7ee1-49c1-ba4b-bb66b5de3796
date_completed,2024-07-16 09:36:56.968384
total_episodes,400
gamma,0.99
tau,0.005
num_actions,4
num_states,2
lower_bound,0.0
upper_bound,1.0
ep_running_average,5
buffer_size,30000
TARGET_REWARD,0
max_env_steps,200
latency,20
actor_lr,0.001
critic_lr,0.002
std_dev,1.0
env.delta_t,0.1
env.max_t,20.0
env_type,SinusoidalControlledFixedEnv
env.fixed_errors_flags,"[True, True, True, True, False, True, True, True, True, True, True, True]"
env.fixed_error_ctrl_pump,"[0, 0, 0, 0]"
env.fixed_error_ctrl_alice,"[3.141592653589793, 0, 0, 0]"
env.fixed_error_ctrl_bob,"[0, 0, 0, 0]"
total_training_time,69.30569887161255
avg_time_per_ep,0.17326424717903138
baseline_reward,-4.499172479665966
note,onlyZ nsinus actorNN_with_leakyReLu reward_qber_mult
