Parameter,Value
uid,83c53821-c606-440c-8fdc-83ea11c17809
date_completed,2024-07-18 15:19:51.006639
algorithm,PPO with continous action gaussian policy
total_episodes,300
seed,<environment.models.simple_control_fixed.SimpleControlledFixedEnv object at 0x7fdd1c389e80>
gamma,0.99
lambda,0.95
num_actions,2
num_states,3
HIDDEN_LAYER_SIZES,"(512, 512)"
target_kl,0.01
train_policy_iterations,280
train_value_iterations,280
max_env_steps,100
latency,0
policy_learning_rate,0.0002
value_function_learning_rate,0.001
clip_ration,0.1
env_reward_type,negative
env.delta_t,0.1
env.max_t,10.0
env_type,SimpleControlledFixedEnv
env.fixed_errors_flags,"[True, True, True, True, False, False, True, True, True, True, True, True]"
env.fixed_error_ctrl_pump,"[0, 0, 0, 0]"
env.fixed_error_ctrl_alice,"[0, 0, 0, 0]"
env.fixed_error_ctrl_bob,"[0, 0, 0, 0]"
total_training_time,263.0060803890228
avg_time_per_ep,263.0060803890228
baseline_reward,-69.18653612549967
convergence_reward,-37.44593903841688
note,curriculum: restrict QBER to X then Z then both
