Parameter,Value
uid,ad0a5f18-12bb-4786-a243-e3e9032d45b2
date_completed,2024-07-11 14:15:39.239523
total_episodes,100
gamma,0.1
tau,0.005
num_actions,2
num_states,2
lower_bound,-3.141592653589793
upper_bound,3.141592653589793
ep_running_average,10
buffer_size,5000
TARGET_REWARD,0
max_env_steps,1000
latency,1
actor_lr,0.001
critic_lr,0.002
std_dev,0.4
env.delta_t,0.01
env.max_t,2
env_type,SimpleControlledFixedEnv
env.fixed_errors_flags,"[True, True, True, True, False, False, True, True, True, True, True, True]"
env.fixed_error_ctrl_pump,"[0, 0, 0, 0]"
env.fixed_error_ctrl_alice,"[3.141592653589793, 3.141592653589793, 0, 0]"
env.fixed_error_ctrl_bob,"[0, 0, 0, 0]"
total_training_time,207.94608521461487
avg_time_per_ep,2.079460852146149
note,-5 times scaled negative reward
