Parameter,Value
uid,c25bc05f-50a8-4bb6-ab0a-a63c56ef8cc5
date_completed,2024-07-16 12:01:13.151682
total_episodes,40
gamma,0.99
tau,0.005
num_actions,2
num_states,4
lower_bound,-3.141592653589793
upper_bound,0
ep_running_average,5
buffer_size,30000
TARGET_REWARD,0
max_env_steps,1440
latency,100
actor_lr,0.0001
critic_lr,0.002
std_dev,2.0
env.delta_t,2
env.max_t,2880
env_type,SimpleControlledFixedEnv
env.fixed_errors_flags,"[True, True, True, True, False, False, True, True, True, True, True, True]"
env.fixed_error_ctrl_pump,"[0, 0, 0, 0]"
env.fixed_error_ctrl_alice,"[3.141592653589793, 0, 0, 0]"
env.fixed_error_ctrl_bob,"[0, 0, 0, 0]"
total_training_time,34.64151573181152
avg_time_per_ep,0.8660378932952881
baseline_reward,-365.79717891105463
note,new ladybug
