Parameter,Value
uid,c66af9bd-65d7-4baa-9795-4eae5f8ea72c
date_completed,2024-07-11 14:56:21.735717
total_episodes,200
gamma,0.8
tau,0.002
num_actions,2
num_states,2
lower_bound,-3.141592653589793
upper_bound,3.141592653589793
ep_running_average,10
buffer_size,5000
TARGET_REWARD,0
max_env_steps,1000
latency,1
actor_lr,0.0005
critic_lr,0.01
std_dev,0.2
env.delta_t,0.01
env.max_t,2
env_type,SimpleControlledFixedEnv
env.fixed_errors_flags,"[True, True, True, True, False, False, True, True, True, True, True, True]"
env.fixed_error_ctrl_pump,"[0, 0, 0, 0]"
env.fixed_error_ctrl_alice,"[3.141592653589793, 3.141592653589793, 0, 0]"
env.fixed_error_ctrl_bob,"[0, 0, 0, 0]"
total_training_time,390.7346272468567
avg_time_per_ep,1.9536731362342834
note,-5 times scaled negative reward
