Parameter,Value
uid,d235e5b1-82f4-45d0-b5bf-59c754a3d748
date_completed,2024-07-15 11:06:26.563125
total_episodes,400
gamma,0.99
tau,0.005
num_actions,4
num_states,2
lower_bound,0.0
upper_bound,1.0
ep_running_average,5
buffer_size,30000
TARGET_REWARD,0
max_env_steps,100
latency,20
actor_lr,0.001
critic_lr,0.002
std_dev,1.0
env.delta_t,0.1
env.max_t,10.0
env_type,SinusoidalControlledFixedEnv
env.fixed_errors_flags,"[True, True, True, True, False, True, True, True, True, True, True, True]"
env.fixed_error_ctrl_pump,"[0, 0, 0, 0]"
env.fixed_error_ctrl_alice,"[3.141592653589793, 0, 0, 0]"
env.fixed_error_ctrl_bob,"[0, 0, 0, 0]"
total_training_time,36.544426679611206
avg_time_per_ep,0.09136106669902802
baseline_reward,-2.4305231336382582
note,onlyZ nsinus no_critic_batch_norm_NN
