Parameter,Value
uid,ea7c2851-2a4b-4def-bfa7-50adeaa2db92
date_completed,2024-07-16 09:23:15.293953
total_episodes,200
gamma,0.99
tau,0.005
num_actions,4
num_states,2
lower_bound,0.0
upper_bound,1.0
ep_running_average,5
buffer_size,30000
TARGET_REWARD,-0.5
max_env_steps,200
latency,20
actor_lr,0.001
critic_lr,0.001
std_dev,0.5
env.delta_t,0.1
env.max_t,20.0
env_type,SinusoidalControlledFixedEnv
env.fixed_errors_flags,"[True, True, True, True, False, True, True, True, True, True, True, True]"
env.fixed_error_ctrl_pump,"[0, 0, 0, 0]"
env.fixed_error_ctrl_alice,"[3.141592653589793, 0, 0, 0]"
env.fixed_error_ctrl_bob,"[0, 0, 0, 0]"
total_training_time,1.2478382587432861
avg_time_per_ep,1.2478382587432861
baseline_reward,3.5
note,nsinus actorNN_with_leakyReLu latency_state_hist reward_qber_mult
