Parameter,Value
uid,f06c002a-94d1-4892-9f58-cb69d9221e4b
date_completed,2024-07-15 11:09:29.997997
total_episodes,400
gamma,0.99
tau,0.005
num_actions,4
num_states,2
lower_bound,0.0
upper_bound,1.0
ep_running_average,5
buffer_size,30000
TARGET_REWARD,0
max_env_steps,200
latency,20
actor_lr,0.001
critic_lr,0.002
std_dev,1.0
env.delta_t,0.1
env.max_t,20.0
env_type,SinusoidalControlledFixedEnv
env.fixed_errors_flags,"[True, True, True, True, False, True, True, True, True, True, True, True]"
env.fixed_error_ctrl_pump,"[0, 0, 0, 0]"
env.fixed_error_ctrl_alice,"[3.141592653589793, 0, 0, 0]"
env.fixed_error_ctrl_bob,"[0, 0, 0, 0]"
total_training_time,71.52615141868591
avg_time_per_ep,0.17881537854671478
baseline_reward,-5.386329669140918
note,onlyZ nsinus no_critic_batch_norm_NN
