Parameter,Value
uid,fab6a828-a385-4461-b905-e4a37c015d99
date_completed,2024-07-11 14:48:29.244902
total_episodes,200
gamma,0
tau,0.001
num_actions,2
num_states,2
lower_bound,-3.141592653589793
upper_bound,3.141592653589793
ep_running_average,10
buffer_size,5000
TARGET_REWARD,0
max_env_steps,1000
latency,1
actor_lr,0.0001
critic_lr,0.005
std_dev,0.2
env.delta_t,0.01
env.max_t,2
env_type,SimpleControlledFixedEnv
env.fixed_errors_flags,"[True, True, True, True, False, False, True, True, True, True, True, True]"
env.fixed_error_ctrl_pump,"[0, 0, 0, 0]"
env.fixed_error_ctrl_alice,"[3.141592653589793, 3.141592653589793, 0, 0]"
env.fixed_error_ctrl_bob,"[0, 0, 0, 0]"
total_training_time,425.07324481010437
avg_time_per_ep,2.125366224050522
note,-5 times scaled negative reward
