Parameter,Value
uid,fd576579-618f-41f4-b36c-72409c3d5403
date_completed,2024-07-11 16:29:58.713940
total_episodes,100
gamma,0.99
tau,0.005
num_actions,1
num_states,2
lower_bound,-3.141592653589793
upper_bound,3.141592653589793
ep_running_average,10
buffer_size,30000
TARGET_REWARD,0
max_env_steps,1000
latency,1
actor_lr,0.0005
critic_lr,0.01
std_dev,0.2
env.delta_t,0.01
env.max_t,2
env_type,SimpleControlledFixedEnv
env.fixed_errors_flags,"[True, True, True, True, False, True, True, True, True, True, True, True]"
env.fixed_error_ctrl_pump,"[0, 0, 0, 0]"
env.fixed_error_ctrl_alice,"[3.141592653589793, 0, 0, 0]"
env.fixed_error_ctrl_bob,"[0, 0, 0, 0]"
total_training_time,169.19540858268738
avg_time_per_ep,1.6919540858268738
baseline_reward,-262.65559067026237
note,-5 times scaled negative reward onlyZ
